date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-11-05,41.23860168,42.90239274,42.34659576,-0.02651328,0.01303956,0.00000000,0.04870784,0.00237245,0.00268379,0.00070295,-0.06703682,-0.08771423,0,-0.08521215,-0.10685947,0
2023-11-06,42.12858963,41.75138266,41.23860168,0.02135185,0.01235782,0.00000000,0.05053468,0.00255375,0.00256494,0.00045590,-0.07068572,-0.09240696,0,-0.08330400,-0.10446657,0
2023-11-07,43.09254456,42.67860172,42.12858963,0.02262340,0.01297107,0.00000000,0.03709061,0.00137571,0.00243840,0.00051182,-0.04801298,-0.06370831,0,-0.08122309,-0.10185703,0
2023-11-08,43.18988800,43.67764790,43.09254456,0.00225639,0.01348648,0.00000000,0.03576368,0.00127904,0.00232280,0.00000509,-0.04531209,-0.06047482,0,-0.07927448,-0.09941340,0
2023-11-09,45.44482803,43.82516716,43.18988800,0.05089263,0.01460185,0.00000000,0.03457740,0.00119560,0.00218374,0.00259006,-0.04226313,-0.05679134,0,-0.07686484,-0.09639161,0
2023-11-10,56.64385223,46.17523898,45.44482803,0.22028444,0.01594468,0.00000000,0.03849763,0.00148207,0.00220812,0.04852523,-0.04736419,-0.06356516,0,-0.07729271,-0.09692817,0
2023-11-11,56.10266113,57.75905436,56.64385223,-0.00960021,0.01949666,0.00000000,0.05291287,0.00279977,0.00498715,0.00009216,-0.06570973,-0.09570797,0,-0.11615912,-0.14566822,0
2023-11-12,56.15409851,57.17267427,56.10266113,0.00091642,0.01889281,0.00000000,0.04841865,0.00234437,0.00469345,0.00000084,-0.05907836,-0.08652316,0,-0.11268685,-0.14131385,0
2023-11-13,51.90705109,57.20330735,56.15409851,-0.07864503,0.01851205,0.00000000,0.05844004,0.00341524,0.00441189,0.00618504,-0.07544056,-0.10901105,1,-0.10925457,-0.13700964,0
2023-11-14,56.83837509,52.79090821,51.90705109,0.09075708,0.01688434,0.00000000,0.06357463,0.00404173,0.00451828,0.00823685,-0.08534785,-0.12179826,0,-0.11056402,-0.13865174,0
2023-11-15,65.53440094,57.89650832,56.83837509,0.14236349,0.01844536,0.00000000,0.06489291,0.00421109,0.00474139,0.02026736,-0.08649734,-0.12193488,0,-0.11326097,-0.14203382,0
2023-11-16,57.87140274,66.93430112,65.53440094,-0.12435186,0.02113635,0.00000000,0.07019394,0.00492719,0.00567295,0.01546338,-0.09278826,-0.12974265,1,-0.12388873,-0.15536147,1
2023-11-17,58.41593552,58.94042782,57.87140274,0.00936537,0.01830388,0.00000000,0.07781572,0.00605529,0.00626038,0.00008771,-0.10742637,-0.15027190,0,-0.13014501,-0.16320710,0
2023-11-18,58.51272583,59.48507565,58.41593552,0.00165555,0.01813673,0.00000000,0.08126028,0.00660323,0.00589002,0.00000274,-0.11301303,-0.15820622,0,-0.12623668,-0.15830589,0
2023-11-19,61.39355850,59.57173141,58.51272583,0.04806065,0.01793689,0.00000000,0.08132049,0.00661302,0.00553678,0.00230983,-0.11327644,-0.15860522,0,-0.12239282,-0.15348553,0
2023-11-20,56.53383255,62.59997609,61.39355850,-0.08246565,0.01945998,0.00000000,0.07992798,0.00638848,0.00534316,0.00680058,-0.10977507,-0.15349312,0,-0.12023378,-0.15077801,0
2023-11-21,52.00047302,57.56597410,56.53383255,-0.08358645,0.01809240,0.00000000,0.07957966,0.00633292,0.00543061,0.00698669,-0.11046298,-0.15435768,0,-0.12121365,-0.15200681,0
2023-11-22,57.58855820,52.87327786,52.00047302,0.10207109,0.01664525,0.00000000,0.07858476,0.00617557,0.00552397,0.01041851,-0.11041601,-0.15340558,0,-0.12225119,-0.15330792,0
2023-11-23,56.59936905,58.66161621,57.58855820,-0.01732607,0.01846171,0.00000000,0.07903055,0.00624583,0.00581765,0.00030019,-0.10981446,-0.15138628,0,-0.12545874,-0.15733032,0
2023-11-24,56.86643982,57.63559409,56.59936905,0.00470752,0.01814249,0.00000000,0.07925446,0.00628127,0.00548660,0.00002216,-0.11040406,-0.15242087,0,-0.12183691,-0.15278840,0
2023-11-25,58.84648895,57.93159621,56.86643982,0.03422681,0.01855758,0.00000000,0.07868948,0.00619203,0.00515873,0.00117147,-0.10900417,-0.15095757,0,-0.11814049,-0.14815294,0
2023-11-26,57.64270020,59.97793386,58.84648895,-0.02066856,0.01904455,0.00000000,0.07691562,0.00591601,0.00491950,0.00042719,-0.10543749,-0.14712799,0,-0.11536860,-0.14467688,0
2023-11-27,55.06462097,58.68845030,57.64270020,-0.04575619,0.01797933,0.00000000,0.07355143,0.00540981,0.00464996,0.00209363,-0.10086786,-0.14134372,0,-0.11216357,-0.14065764,0
